author name,identifier,country of citizenship,educated at,field of work,occupation,religion or worldview,sex or gender
Henricus Sedulius,Q21546722,,,,theologian,,male
"de Coster, Gillis",,,,,,,
"de Coster, Gillis",,,,,,,
Alonso de Madrid,Q5670348,Spain,,,literary,Catholicism,male
"vanden Broecke, Franciscus",,,,,,,
"Farzyn, Jacobus",,,,,,,
Hentenius,Q15453291,,,,biblical scholar,,male
"Junius, Balduinus",,,,,,,
Caesar of Heisterbach,Q649722,Germany,,,writer,Catholic Church,male
,,,,,hagiographer,,
,,,,,theologian,,
Gerlac Peterson,Q5550917,Holy Roman Empire,,,writer,,male
,,,,,theologian,,
"van Gorcum, Jan",,,,,,,
"van Heese, Nicasius",,,,,,,
Arnoldus ab Isca,,,,,,,
"de Guevara, Antonio",,,,,,,
Arnoldus ab Isca,,,,,,,
"vanden Calster, Anna",,,,,,,
Arnoldus ab Isca,,,,,,,
"Florus, Lucius Annaeus.",,,,,,,
Albrecht$ $ $bVII,,,,,,,
Isabella Clara Eugenia,Q158256,Spain,,,politician,Catholic Church,female
"Vanden Berghe, Joannes",,,,,,,
"Bijns, Anna.",,,,,,,
"Pippinck, B. Henrick",,,,,,,
"Jordan, Raymondus",,,,,,,
"van Alen, Jan",,,,,,,
"Godefridi, Petrus",,,,,,,
"Vervoort, Frans",,,,,,,
Thomas Aquinas,Q9438,,University of Paris,philosophy,theologian,Catholicism,male
,,,University of Naples Federico II,theology,professor,,
,,,,,Latin Catholic priest,,
,,,,,philosopher,,
,,,,,writer,,
,,,,,Catholic theologian,,
,,,,,Catholic friar,,
"Florianus, Joannes.",,,,,,,
Ovid,Q7198,Ancient Rome,,,poet,,male
"Campi de Salutio, Bartholomeus",,,,,,,
Jan van Blitterswyck,Q27995644,,,,monk,,male
"Smising, Theodorus",,,,,,,
"von Hohenzollern-Sigmaringen, Eitel Friedrich",,,,,,,
"Spoelbergh, Guilielmus",,,,,,,
Bonaventura,,,,,,,
"Spoelbergh, Guilielmus",,,,,,,
Lodewijk Makeblyde,Q1896420,Netherlands,University of Douai,,Catholic priest,Catholic Church,male
,,,,,writer,,
Bonaventura,,,,,,,
"Spoelbergh, Guilielmus",,,,,,,
"de Soto, Andreas",,,,,,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
"Duez, Paul",,,,,,,
"Rodr¨ªguez, Alfonso",,,,,,,
"Herman, Hugo",,,,,,,
"Picard, Jean",,,,,,,
"Roels, Petronilla",,,,,,,
"Spoelbergh, Guilielmus",,,,,,,
Diego de Covarubias y Leyva,Q1220593,Spain,University of Salamanca,,Latin Catholic priest,Catholic Church,male
,,,,,university teacher,,
,,,,,economist,,
,,,,,jurist,,
Diego de Estella,Q325647,Spain,University of Toulouse,,theologian,Catholic Church,male
,,,University of Salamanca,,monk,,
"de Soto, Andreas",,,,,,,
Jan van Blitterswyck,Q27995644,,,,monk,,male
Lodewijk Makeblyde,Q1896420,Netherlands,University of Douai,,Catholic priest,Catholic Church,male
,,,,,writer,,
"Collaert, Jan$ $ $bII",,,,,,,
"Spoelbergh, Guilielmus",,,,,,,
"Spoelbergh, Guilielmus",,,,,,,
"Spoelbergh, Guilielmus",,,,,,,
"Spoelbergh, Guilielmus",,,,,,,
"Rednauca, Guilielmus.",,,,,,,
"Spoelbergh, Guilielmus",,,,,,,
"Lipsius, Justus",,,,,,,
"du Verger, Bernard",,,,,,,
Henricus Sedulius,Q21546722,,,,theologian,,male
Cornelius Thielmans,Q64031624,,,,writer,,male
"Steyt, Martin",,,,,,,
Cornelius Thielmans,Q64031624,,,,writer,,male
"de Soto, Andreas",,,,,,,
"de Guevara, Antonio",,,,,,,
de La Bruiere,,,,,,,
"de Soto, Andreas",,,,,,,
"de Sancto Huberto, Joannes",,,,,,,
"d'Assignies, Jean",,,,,,,
Jacob Coren,Q93433786,Dutch Republic,Leiden University,,judge,,male
,,,,,jurist,,
Jean Chapeauville,Q6170396,,University of Cologne,,historian,Catholic Church,male
Andr¨¦ Couvreur,Q18012130,France,,,poet,,male
,,,,,writer,,
,,,,,physician,,
Nicolaus Oranus,Q55901322,,,,,,male
Mathias Hovius,Q2506641,,Old University of Leuven,,prelate,Catholic Church,male
Peter of Alcantara,Q470608,Spain,University of Salamanca,asceticism,presbyter,Catholic Church,male
,,,,mysticism,ascetic,,
,,,,monastic life,mystic,,
,,,,,religious,,
Girolamo Savonarola,Q164823,Duchy of Ferrara,University of Ferrara,philosophy,politician,Catholic Church,male
,,Republic of Florence,,theology,philosopher,,
,,,,homiletics,religious,,
,,,,politics,writer,,
,,,,Reformation,preacher,,
,,,,,theologian,,
,,,,,Protestant reformer,,
"Snellinck, Jan",,,,,,,
Ephrem the Syrian,Q200608,,,theology,theologian,Catholic Church,male
,,,,liturgical music,deacon,Christianity,
,,,,administration and management of the church,cleric,,
,,,,,poet,,
,,,,,writer,,
,,,,,priest,,
"Vossius, Gerardus",,,,,,,
"Lipsius, Justus",,,,,,,
Stephanus Pighius,Q331216,Netherlands,,,historian,,male
Valerius Maximus,,,,,,,
Johannes Malderus,Q2690643,,Old University of Leuven,,Catholic priest,Catholic Church,male
,,,University of Douai,,university teacher,,
Philip Galle,Q1379395,Netherlands,,,painter,,male
,,Spanish Netherlands,,,engraver,,
,,,,,printmaker,,
,,,,,graphic artist,,
,,,,,publisher,,
,,,,,drawer,,
"Lipsius, Justus",,,,,,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
"De Pretere, Guilielmus",,,,,,,
"Polancus, Joannes",,,,,,,
Juan de Cartagena,Q62613020,Spain,,,theologian,Catholic Church,male
,,,,,monk,,
,,,,,Catholic priest,,
"Rinckens, Gaspar",,,,,,,
"de Sangere, Jan",,,,,,,
"vanden Broecke, Franciscus",,,,,,,
"Janssonius, Jacobus",,,,,,,
Ottavio Mirto Frangipani,Q21208780,,University of Naples Federico II,,Catholic priest,Catholic Church,male
"vanden Borgh, Jacobus",,,,,,,
Horace,Q6197,Ancient Rome,,,poet,,male
,,,,,writer,,
,,,,,philosopher,,
"Moretus, Balthasar",,,,,,,
Pieter Nanninck,Q24952357,Southern Netherlands,Old University of Leuven,,philologist,,male
